dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,Sistema Fuzzy de Mamdani - Otimizado,21,1,44.34965008747618,0.3113600133404329,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4364201864201863,0.006522706242243388,0.4354623514870003,0.0041028717956834455,0.4364201864201863,0.006522706242243388,0.43552098446578047,0.004746898372178379,0.43881276535591196,0.006588887602374964,0.437671255109459,0.005466332591119798,0.43881276535591196,0.006588887602374964,0.43782962004500386,0.005572098994908961,"{""max_train_samples"": 800, ""n_membership_functions"": 5}"
bank_marketing,Sistema Fuzzy de Mamdani - Otimizado,21,1,15.898823285285678,0.14095908093550744,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8583804678695189,0.005680495494372065,0.8342086036467219,0.004613783287609711,0.8583804678695189,0.005680495494372065,0.8440661835222949,0.004070986443572502,0.8588173962496641,0.006702733913847736,0.8354419388064398,0.0049009208558043965,0.8588173962496641,0.006702733913847736,0.8449751061062807,0.004833194208476027,"{""max_train_samples"": 800, ""n_membership_functions"": 5}"
heart_disease,Sistema Fuzzy de Mamdani - Otimizado,21,1,0.09482706547645475,0.0022828381891645535,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5737704918032787,0.0,0.6131268081002895,1.137640067256873e-16,0.5737704918032787,0.0,0.5841601021928893,1.137640067256873e-16,0.5245901639344264,1.137640067256873e-16,0.514501891551072,0.0,0.5245901639344264,1.137640067256873e-16,0.5191256830601092,1.137640067256873e-16,"{""max_train_samples"": 800, ""n_membership_functions"": 5}"
mushroom,Sistema Fuzzy de Mamdani - Otimizado,21,1,5.321599056856766,0.1081995522266448,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9982406755805772,0.0023227080456811183,0.9982481125852213,0.002307471260965054,0.9982406755805772,0.0023227080456811183,0.9982408025372238,0.0023223681877728914,0.9990042757570433,0.0013258509990671486,0.9990097535587112,0.00131474704383677,0.9990042757570433,0.0013258509990671486,0.9990043563021483,0.0013256826018480492,"{""max_train_samples"": 800, ""n_membership_functions"": 5}"
