dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System) - Otimizado,21,1,2.337011094714052,0.22849099999631814,0.8749206349206349,0.027721212247403752,0.7662179894179895,0.048984127244733854,0.8749206349206349,0.027721212247403752,0.8167733146904507,0.03980374150238378,0.8829167588291675,0.0001988660909719418,0.7820632242849777,0.010991110483526183,0.8829167588291675,0.0001988660909719418,0.8281149684988119,0.000167745596820074,0.8829560354496768,0.00010818719241886952,0.7806222643908337,0.004262106321281759,0.8829560354496768,0.00010818719241886952,0.8281263693502927,2.9572881371487316e-05,"{""learning_rate"": 0.05, ""max_train_samples"": 150, ""n_epochs"": 50, ""n_membership_functions"": 4, ""pca_components"": 2}"
heart_disease,ANFIS (Adaptive Neuro-Fuzzy Inference System) - Otimizado,21,1,0.8660162781433471,0.011621865577756657,0.6168253968253969,0.027294203505021816,0.5148725593633302,0.03682291432626931,0.6168253968253969,0.027294203505021816,0.5506147995155489,0.027732411748005576,0.6237314597970335,0.015092824385195294,0.6070668528230042,0.06139672675199305,0.6237314597970335,0.015092824385195294,0.5788131557418329,0.021761942151359452,0.6026541764246682,0.012597122719090916,0.5048998881607222,0.04642570887772872,0.6026541764246682,0.012597122719090916,0.5322009190889906,0.018649426664329928,"{""learning_rate"": 0.05, ""max_train_samples"": 150, ""n_epochs"": 50, ""n_membership_functions"": 4, ""pca_components"": 2}"
mushroom,ANFIS (Adaptive Neuro-Fuzzy Inference System) - Otimizado,21,1,0.9975334570948949,0.05761790410050426,0.8926984126984127,0.02466709566336516,0.9010260330913772,0.02248817574907296,0.8926984126984127,0.02466709566336516,0.8919093043201091,0.02499401044208902,0.8849988271170536,0.00853650121565233,0.8949152761146977,0.009049264535257898,0.8849988271170536,0.00853650121565233,0.8838798899071162,0.008623325718181347,0.8971475429040006,0.007937880261738818,0.9030551657256655,0.008753766810287797,0.8971475429040006,0.007937880261738818,0.8965211748208171,0.007930473642208958,"{""learning_rate"": 0.05, ""max_train_samples"": 150, ""n_epochs"": 50, ""n_membership_functions"": 4, ""pca_components"": 2}"
