dataset,param_name,param_value,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std,time_mean,time_std,n_seeds
adult,n_membership_functions,2,0.34018060771731246,0.0,0.3401226665337891,0.0,2.320725608400244,0.20553774910900846,5
adult,n_membership_functions,3,0.34018060771731246,0.0,0.3401226665337891,0.0,2.366718012999627,0.09169955793365617,5
adult,n_membership_functions,4,0.34182877110537574,0.0010181913613731659,0.3417563673304822,0.0009924410371056072,2.691733536999527,0.059695669058123894,5
adult,learning_rate,0.001,0.34018060771731246,0.0,0.3401226665337891,0.0,2.028127425799903,0.039243244839022404,5
adult,learning_rate,0.01,0.34018060771731246,0.0,0.3401226665337891,0.0,2.051939198200125,0.07172665628151839,5
adult,learning_rate,0.05,0.34477950127553847,0.005120790292536714,0.3465956736453809,0.006899670060079892,2.030179739199957,0.03470895363551373,5
adult,n_epochs,10,0.34018060771731246,0.0,0.3401226665337891,0.0,1.9975803649998851,0.038850872525840706,5
adult,n_epochs,25,0.34018060771731246,0.0,0.3401226665337891,0.0,2.5968281030007345,0.13331109068947333,5
adult,n_epochs,50,0.3448433464760515,0.005078008671125918,0.34655126694997773,0.0068113876353198865,3.3744303033985488,0.05989951012970595,5
adult,pca_components,2,0.34018060771731246,0.0,0.3401226665337891,0.0,1.3853445280001324,0.02306240155995683,5
adult,pca_components,4,0.34018060771731246,0.0,0.3401226665337891,0.0,1.9609411665987864,0.029553181935717897,5
adult,pca_components,6,0.34018060771731246,0.0,0.3401226665337891,0.0,2.6022782444000767,0.06080177540370683,5
adult,pca_components,8,0.34018060771731246,0.0,0.3401226665337891,0.0,3.3588204136009154,0.08949748132550181,5
adult,max_train_samples,150,0.34018060771731246,0.0,0.3401226665337891,0.0,1.8540363214000535,0.040750567687093085,5
adult,max_train_samples,300,0.34018060771731246,0.0,0.3401226665337891,0.0,2.086908769800357,0.08614407391605551,5
adult,max_train_samples,500,0.34018060771731246,0.0,0.3401226665337891,0.0,2.255494890200498,0.027688852589697128,5
