dataset,param_name,param_value,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std,time_mean,time_std,n_seeds
adult,n_components,8,0.41005374356861746,0.012026898564153541,0.40939574509399546,0.012835313862852497,7.605686255600449,0.3710062721248537,5
adult,n_components,16,0.4310641167200634,0.0017136248052393602,0.43309546183200237,0.0019563344452868297,9.51676673000038,0.2871691275079461,5
adult,n_components,32,0.43499935873174717,0.0008222622650987837,0.43792013414532444,0.0009563435122486598,12.16447882020002,0.5045476803871922,5
adult,n_components,64,0.43783541833213196,0.0007685489905760603,0.44082949377086234,0.0004369391766196006,19.254406934198776,0.7339095302579199,5
adult,n_components,128,0.43898281311087217,0.000829651969032202,0.4431746907312902,0.0010555311432841564,36.19903782080073,2.8619489500723274,5
adult,n_iter,5,0.4356724828921245,0.0006327361957220122,0.43843007186388433,0.00046613001369932914,13.363253125200572,0.4994869951509833,5
adult,n_iter,10,0.43783541833213196,0.0007685489905760603,0.44082949377086234,0.0004369391766196006,19.414578499599884,0.7775670428229079,5
adult,n_iter,20,0.43864204948003527,0.000818292631990549,0.4436946910019836,0.0008219232252589999,29.302065985400986,0.8582736000855644,5
adult,learning_rate,0.001,0.42758907411326125,0.002727995846143706,0.4297415174132162,0.002215555507725101,13.809481963801227,1.245244715771422,5
adult,learning_rate,0.01,0.43783541833213196,0.0007685489905760603,0.44082949377086234,0.0004369391766196006,19.15887047799988,0.7492017162875722,5
adult,learning_rate,0.05,0.4382838693880597,0.0010985288636436636,0.4429867346567014,0.001431324989045231,16.098079208000126,1.0437192295952231,5
adult,logistic_C,0.1,0.434490544629767,0.0002581729157533202,0.43798336359804174,0.0004918849960442102,14.115993508800603,0.7073081733901526,5
adult,logistic_C,1.0,0.43783541833213196,0.0007685489905760603,0.44082949377086234,0.0004369391766196006,19.066889977799292,0.6751752605028007,5
adult,logistic_C,10.0,0.4385849406432989,0.0009299123003746133,0.44284963238017505,0.00037841558479127926,28.287370029200247,3.1404922867035725,5
