dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,MLP (Perceptron Multicamadas) - Otimizado,21,1,17.441860111761777,3.3177199369886003,0.5752244456902366,0.003494098901495372,0.5450149154379416,0.01265298571429754,0.5752244456902366,0.003494098901495372,0.4821588885134812,0.007536185531955432,0.555857805857806,0.002182169479619993,0.47756062593113036,0.008273616395046769,0.555857805857806,0.002182169479619993,0.46152567444125997,0.003504803466368987,0.5633661387576835,0.0016992586111421227,0.4840700719983156,0.006921606991572205,0.5633661387576835,0.0016992586111421227,0.46745831613435246,0.003954091584346455,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}"
bank_marketing,MLP (Perceptron Multicamadas) - Otimizado,21,1,17.294003196714193,5.5221735478160445,0.9094244495704348,0.0027818661527871567,0.8992590392182845,0.003971260337524717,0.9094244495704348,0.0027818661527871567,0.9013319365022602,0.003920751659744074,0.9030766476021951,0.0013465713213335374,0.8914884737185711,0.0015346979336493482,0.9030766476021951,0.0013465713213335374,0.894360087449698,0.0014317904928399221,0.904782968146896,0.0010551683737712158,0.8928691699636011,0.0014754989842082353,0.904782968146896,0.0010551683737712158,0.8951773968036812,0.001557997411339438,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}"
heart_disease,MLP (Perceptron Multicamadas) - Otimizado,21,1,0.2708605311903132,0.1358761560642895,0.34701394369902655,0.16066445628090503,0.43212780252205363,0.13653453193917983,0.34701394369902655,0.16066445628090503,0.3257644049809262,0.1645437882690844,0.3224043715846995,0.1711002174801377,0.34610605562558355,0.1935697646903748,0.3224043715846995,0.1711002174801377,0.2959102997380318,0.1802840961435057,0.32396565183450426,0.1617813330662582,0.36830404255126503,0.178870995994501,0.32396565183450426,0.1617813330662582,0.29926419652893665,0.16607957114913305,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}"
mushroom,MLP (Perceptron Multicamadas) - Otimizado,21,1,2.0215731823332352,0.36185443621914054,0.9979482970865818,0.0017312288149141462,0.9979515498741162,0.0017274209305820998,0.9979482970865818,0.0017312288149141462,0.9979483484636511,0.001731115764974595,0.9980647431386348,0.002289826798525531,0.998070699004951,0.0022825886797088707,0.9980647431386348,0.002289826798525531,0.9980647697344648,0.0022897156632538055,0.9974814033854623,0.002505006658211213,0.9974902646281685,0.002493929214310532,0.9974814033854623,0.002505006658211213,0.9974813135177534,0.002505286811552645,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}"
