dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,21,1,19.293010882905254,0.5593784863147225,0.8881252567383955,0.0006538881424413,0.8611653817293482,0.001463845130863536,0.8881252567383955,0.0006538881424413,0.8593753287357532,0.001392665558616209,0.8883727788837277,0.0007280254242472754,0.8617688223432692,0.0016272065309650774,0.8883727788837277,0.0007280254242472754,0.8595820630151264,0.0013224064073842651,0.8909074632838871,0.0009426291336912712,0.8674753467550093,0.002069052977531248,0.8909074632838871,0.0009426291336912712,0.8621250118785821,0.0021463876577662807,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}"
heart_disease,Bernoulli RBM + Regressão Logística - Otimizado,21,1,0.15315138714313867,0.0028823149628897384,0.583004472507235,0.003754893683911472,0.443605186326112,0.00465321697395107,0.583004472507235,0.003754893683911472,0.5008181958270163,0.004053854924454053,0.5886026541764247,0.011480984482902083,0.43378951710718755,0.029197777923953536,0.5886026541764247,0.011480984482902083,0.4911065926192488,0.018265738752598314,0.5862607338017174,0.00715468492577025,0.4210449627518094,0.022613336745024967,0.5862607338017174,0.00715468492577025,0.47749588275831567,0.01267601741050327,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}"
mushroom,Bernoulli RBM + Regressão Logística - Otimizado,21,1,2.564423427048106,0.04309936994065389,0.9993747191121012,0.00038095537969740605,0.9993751805330499,0.0003806403122279136,0.9993747191121012,0.00038095537969740605,0.999374709156057,0.0003809634322046911,0.9992962702322308,0.0008326642903729404,0.9992974138753493,0.0008319041243070547,0.9992962702322308,0.0008326642903729404,0.9992962641738549,0.0008326683233162755,0.9997071399285421,0.000536821378194316,0.9997078748776018,0.0005354741960430958,0.9997071399285421,0.000536821378194316,0.9997071472031642,0.0005368080440269474,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}"
