dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.451940404762094,0.08710843676768366,0.759047619047619,0.025822962588080343,0.672642845329189,0.1092918813577846,0.759047619047619,0.025822962588080343,0.658958223131126,0.032942486432005764,0.7636274987810824,0.005555462183001684,0.7220459024851222,0.10738990669490206,0.7636274987810824,0.005555462183001684,0.6649907812396978,0.013632408792386305,0.7636756510860911,0.00535156933920804,0.7188427756726451,0.11346784841356104,0.7636756510860911,0.00535156933920804,0.6645627520993804,0.013119568622826303,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}"
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.31770275714284035,0.008573949711387512,0.8873015873015873,0.014780582142311191,0.7875121693121694,0.026279152161559433,0.8873015873015873,0.014780582142311191,0.8343790183618749,0.021275770006096987,0.8827865831183191,1.137640067256873e-16,0.7793121513337169,2.275280134513746e-16,0.8827865831183191,1.137640067256873e-16,0.8278284520627934,1.137640067256873e-16,0.8831551787688906,1.137640067256873e-16,0.7799630697863109,0.0,0.8831551787688906,1.137640067256873e-16,0.82835772492866,1.137640067256873e-16,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}"
heart_disease,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.09968360476185419,0.0031296109380242183,0.5414364640883976,1.137640067256873e-16,0.2931534446445469,5.688200336284365e-17,0.5414364640883976,1.137640067256873e-16,0.380363967603319,1.137640067256873e-16,0.5409836065573772,1.137640067256873e-16,0.2926632625638269,0.0,0.5409836065573772,1.137640067256873e-16,0.37983955354028603,0.0,0.5409836065573772,1.137640067256873e-16,0.2926632625638269,0.0,0.5409836065573772,1.137640067256873e-16,0.37983955354028603,0.0,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}"
mushroom,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.3626660285716796,0.06551959486844139,0.8914285714285713,0.015039630187955948,0.9043965670341113,0.012531496072631697,0.8914285714285713,0.015039630187955948,0.8897833373505981,0.015797475012464212,0.8873445930096177,0.004132852406572554,0.9045167219315247,0.0024520116819643635,0.8873445930096177,0.004132852406572554,0.885631864028291,0.004400399626288815,0.8969718268611258,0.00295982881927793,0.908470108702131,0.003616625976329149,0.8969718268611258,0.00295982881927793,0.8958879452217451,0.0030089569979201087,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}"
