dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,Bernoulli RBM + Regressão Logística,21,5,3.91237859523781,1.0093992936433795,0.8218524356620136,0.0033765405790395697,0.810077621485585,0.003972762680031929,0.8218524356620136,0.0033765405790395697,0.8107525846633804,0.003754198064715079,0.8248171623598244,0.001672504197362112,0.8133348069108275,0.001970326892170815,0.8248171623598244,0.001672504197362112,0.8132440804494782,0.0020093814617382073,0.8240158567691834,0.0023105226253695467,0.8121534166463973,0.0027292218467417756,0.8240158567691834,0.0023105226253695467,0.8111078033182547,0.0024752106164743046,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}"
bank_marketing,Bernoulli RBM + Regressão Logística,21,5,2.6814637571424966,0.013623275538315962,0.8862164012710898,0.0007116119111285965,0.8589828197132865,0.003420289462503616,0.8862164012710898,0.0007116119111285965,0.8435599078059892,0.0014866355676188775,0.8884910396152563,0.0009584836986976904,0.8719182167183284,0.004118477733523677,0.8884910396152563,0.0009584836986976904,0.8464425806686923,0.0020174553531175773,0.886244361364155,0.00092131358797039,0.8604238084666158,0.005202835979544447,0.886244361364155,0.00092131358797039,0.8421000573005935,0.0018230005775512223,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}"
heart_disease,Bernoulli RBM + Regressão Logística,21,5,0.045767133332576905,0.009258629384696303,0.5627466456195739,0.0061238089159497315,0.3826693739614329,0.02394296530065256,0.5627466456195739,0.0061238089159497315,0.4295255744190869,0.01117955193158405,0.5792349726775955,0.007918785107207352,0.4127304502473983,0.06458180437391381,0.5792349726775955,0.007918785107207352,0.4507013902574779,0.017329505443960256,0.5409836065573772,1.137640067256873e-16,0.29811823157522876,0.005771423099218603,0.5409836065573772,1.137640067256873e-16,0.3843728656246508,0.004762019466939117,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}"
mushroom,Bernoulli RBM + Regressão Logística,21,5,1.019612766667186,0.00880308946324512,0.9952126932020244,0.001663440622544999,0.9952155790655668,0.0016637753454996182,0.9952126932020244,0.001663440622544999,0.9952126413170935,0.0016634026714575142,0.9931972789115648,0.0031786534407058724,0.993217229603678,0.003172329014335693,0.9931972789115648,0.0031786534407058724,0.9931967682841865,0.003178983072433536,0.9930299302993029,0.0037977978440047375,0.993064088695215,0.003776534880274014,0.9930299302993029,0.0037977978440047375,0.9930294900643388,0.003798309565081884,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}"
