dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,MLP (Perceptron Multicamadas),21,6,2.5852212333330025,1.013431698710503,0.8625054845052572,0.006702065805761063,0.8573338533748376,0.0073569345950303565,0.8625054845052572,0.006702065805761063,0.8581678396075736,0.007338494931382186,0.8589793596619537,0.0021358182007339315,0.8539879986116716,0.002281850274851035,0.8589793596619537,0.0021358182007339315,0.8551641069576571,0.0023104727477069836,0.846679988952251,0.003116672409899864,0.8396237332376253,0.003415341468898443,0.846679988952251,0.003116672409899864,0.8406764963972184,0.003354310304209202,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}"
bank_marketing,MLP (Perceptron Multicamadas),21,6,1.2299615571426417,0.24735174311420818,0.9103156071326158,0.008181909859142118,0.8996272424169027,0.010796509136847678,0.9103156071326158,0.008181909859142118,0.9009639195348214,0.009915951268399871,0.9065171221455779,0.002010371467528122,0.8948099586569788,0.002425413248893117,0.9065171221455779,0.002010371467528122,0.89630250147711,0.0019271628550683664,0.9051129482386393,0.00259217738875139,0.8925769292940476,0.0032212130057828908,0.9051129482386393,0.00259217738875139,0.8939665040137018,0.0028588566343793445,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
heart_disease,MLP (Perceptron Multicamadas),21,6,0.0889514619046254,0.030216064957643167,0.6664035780057878,0.0632705530088413,0.6418519285288863,0.0736490309832504,0.6664035780057878,0.0632705530088413,0.6381042025972955,0.06809290142999971,0.6276346604215457,0.025472085116962483,0.6118747038574716,0.034196155655134744,0.6276346604215457,0.025472085116962483,0.6103284749002348,0.026396566852765417,0.5604996096799376,0.03760465915537711,0.4975100433200241,0.04732591162431306,0.5604996096799376,0.03760465915537711,0.5143229583068684,0.027199578432515373,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}"
mushroom,MLP (Perceptron Multicamadas),21,6,0.6493887476191005,0.3268223222580862,0.9992574789456202,0.0006438431729822283,0.9992581676701688,0.0006423556905383816,0.9992574789456202,0.0006438431729822283,0.999257486856993,0.0006438057900708932,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9990628477713349,0.0011607016726980837,0.9990660483040237,0.0011569716560288778,0.9990628477713349,0.0011607016726980837,0.9990628647984756,0.001160695200927358,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}"
