dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,Sistema Fuzzy de Mamdani,21,4,1.5061358619040264,0.2497889990127959,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7763529985372989,0.008714202115764916,0.7768068039915607,0.008994065073114756,0.7763529985372989,0.008714202115764916,0.7761873092107543,0.007979341804304606,0.7702555604295624,0.008376989219900257,0.767450774208047,0.009521351126240132,0.7702555604295624,0.008376989219900257,0.7684139544710819,0.008267534798522965,"{""max_train_samples"": 500, ""n_membership_functions"": 3}"
bank_marketing,Sistema Fuzzy de Mamdani,21,4,0.6000074333332166,0.06216763007553516,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8560897267126535,0.008407352021837532,0.8300006004413897,0.005341339521180568,0.8560897267126535,0.008407352021837532,0.8404218858700991,0.00484235989486367,0.8543345093289806,0.010114320429568443,0.827247827495323,0.00704205669466903,0.8543345093289806,0.010114320429568443,0.8381418644256081,0.006540922403962354,"{""max_train_samples"": 500, ""n_membership_functions"": 3}"
heart_disease,Sistema Fuzzy de Mamdani,21,4,0.027128414285730935,0.0004328375287631368,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5737704918032787,0.0,0.6131268081002895,1.137640067256873e-16,0.5737704918032787,0.0,0.5841601021928893,1.137640067256873e-16,0.5245901639344264,1.137640067256873e-16,0.514501891551072,0.0,0.5245901639344264,1.137640067256873e-16,0.5191256830601092,1.137640067256873e-16,"{""max_train_samples"": 300, ""n_membership_functions"": 5}"
mushroom,Sistema Fuzzy de Mamdani,21,4,0.4101672380954066,0.1446682950997637,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9957776213933849,0.002418671197196956,0.9957940546535033,0.0024072367742138554,0.9957776213933849,0.002418671197196956,0.9957777880126886,0.0024184186925358597,0.9970713992854213,0.002443864215948131,0.9970844651730608,0.0024320542223411974,0.9970713992854213,0.002443864215948131,0.9970714744511562,0.002443832429030427,"{""max_train_samples"": 500, ""n_membership_functions"": 3}"
