dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.8450272761859067,0.08388981572036391,0.5115873015873016,0.02489129806933981,0.27873527100918405,0.05921421275706664,0.5115873015873016,0.02489129806933981,0.34696766176533167,0.0280278045682881,0.5064252564252565,0.0004865831234496853,0.3046434922759908,0.06082593245139336,0.5064252564252565,0.0004865831234496853,0.34091603957052863,0.0013355276220425483,0.5063539183715253,0.0005956279149617822,0.31322902154640536,0.08875715937584149,0.5063539183715253,0.0005956279149617822,0.3408452042251653,0.0015662915795782166,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}"
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.7117449047606593,0.016115818452223485,0.8769841269841269,0.02368555025759991,0.7696354497354496,0.041691433323655776,0.8769841269841269,0.02368555025759991,0.8196684962193149,0.03396423353258802,0.8829904888299047,2.275280134513746e-16,0.7796722033640743,1.137640067256873e-16,0.8829904888299047,2.275280134513746e-16,0.828121233738748,2.275280134513746e-16,0.8830034280659075,1.137640067256873e-16,0.779695053976144,1.137640067256873e-16,0.8830034280659075,1.137640067256873e-16,0.8281398136136092,1.137640067256873e-16,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}"
heart_disease,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.10002806190528818,0.0033849189269012044,0.5414364640883976,1.137640067256873e-16,0.2931534446445469,5.688200336284365e-17,0.5414364640883976,1.137640067256873e-16,0.380363967603319,1.137640067256873e-16,0.5409836065573772,1.137640067256873e-16,0.2926632625638269,0.0,0.5409836065573772,1.137640067256873e-16,0.37983955354028603,0.0,0.5409836065573772,1.137640067256873e-16,0.2926632625638269,0.0,0.5409836065573772,1.137640067256873e-16,0.37983955354028603,0.0,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}"
mushroom,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,5,0.440505371430412,0.09068680611768548,0.8925396825396826,0.016730038251426084,0.9054411918540853,0.014691467147955752,0.8925396825396826,0.016730038251426084,0.8911410587518487,0.0173664190367404,0.8964981684981684,0.00420366274831244,0.9076632078163124,0.004316693241508232,0.8964981684981684,0.00420366274831244,0.8954418363029663,0.004473190108527882,0.9013333333333333,0.0038741544856011815,0.9114679270497525,0.005328870648347845,0.9013333333333333,0.0038741544856011815,0.9004104871444593,0.004010723880879877,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}"
