dataset,algorithm,n_runs,param_grid_size,time_seconds_mean,time_seconds_std,train_accuracy_mean,train_accuracy_std,train_precision_mean,train_precision_std,train_recall_mean,train_recall_std,train_f1_mean,train_f1_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,val_f1_mean,val_f1_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,most_frequent_best_params
adult,Sistema Fuzzy de Mamdani,21,4,4.443422014285932,1.168055062664611,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4392866892866893,0.00818607067705192,0.4349336956892123,0.00645116513338168,0.4392866892866893,0.00818607067705192,0.43599385013649944,0.005519504770334224,0.4384228048881545,0.0065814542890374975,0.4337376483906536,0.006322152255608935,0.4384228048881545,0.0065814542890374975,0.43494181693337763,0.00483775270552357,"{""max_train_samples"": 500, ""n_membership_functions"": 3}"
bank_marketing,Sistema Fuzzy de Mamdani,21,4,1.9005380095304212,0.13151447494744048,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8610400143246858,0.007580528534146478,0.8331343717206059,0.004037766331554219,0.8610400143246858,0.007580528534146478,0.8437734180837123,0.003968467071145296,0.8611712295224402,0.008167611697787595,0.8337564346201787,0.005635911194661064,0.8611712295224402,0.008167611697787595,0.8442419907810422,0.0052796576947166775,"{""max_train_samples"": 500, ""n_membership_functions"": 3}"
heart_disease,Sistema Fuzzy de Mamdani,21,4,0.027324133335025095,0.000677849952916346,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5737704918032787,0.0,0.6131268081002895,1.137640067256873e-16,0.5737704918032787,0.0,0.5841601021928893,1.137640067256873e-16,0.5245901639344264,1.137640067256873e-16,0.514501891551072,0.0,0.5245901639344264,1.137640067256873e-16,0.5191256830601092,1.137640067256873e-16,"{""max_train_samples"": 300, ""n_membership_functions"": 5}"
mushroom,Sistema Fuzzy de Mamdani,21,4,0.8336854761915414,0.18481163498524897,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9966007326007329,0.0018422424988656294,0.9966120616751155,0.0018352038084814332,0.9966007326007329,0.0018422424988656294,0.9966004267914027,0.0018424980410026652,0.9983003663003664,0.001627046687776368,0.9983059004497005,0.0016198747247335257,0.9983003663003664,0.001627046687776368,0.9983003269136762,0.0016271329199868895,"{""max_train_samples"": 500, ""n_membership_functions"": 3}"
